player,team,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,agent,map,tourney_type,game_id,match_id,role_agent,total_round,ot,win_lose
Lmemore,RRQ,6,0,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 2,119527,184461,Sentinel,23,No,win
2ge,RRQ,3,1,0,0,1,0,0,0,0,Astra,Haven,League Play: Week 2,119527,184461,Controller,23,No,win
Dep,ZETA,3,2,0,1,1,1,0,0,0,Jett,Ascent,League Play: Week 2,119528,184461,Duelist,23,No,win
Laz,ZETA,0,1,0,0,1,1,0,0,0,Sova,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,win
crow,ZETA,1,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,win
TENNN,ZETA,3,2,1,0,0,1,0,0,0,Killjoy,Ascent,League Play: Week 2,119528,184461,Sentinel,23,No,win
SugarZ3ro,ZETA,5,0,0,0,0,0,0,0,0,Omen,Ascent,League Play: Week 2,119528,184461,Controller,23,No,win
xffero,RRQ,5,1,0,0,0,0,0,0,0,Sova,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,lose
fl1pzjder,RRQ,1,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119528,184461,Initiator,23,No,lose
EJAY,RRQ,4,4,0,0,1,0,0,0,0,Jett,Ascent,League Play: Week 2,119528,184461,Duelist,23,No,lose
Lmemore,RRQ,4,0,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119528,184461,Sentinel,23,No,lose
2ge,RRQ,1,0,0,0,0,0,0,0,0,Astra,Ascent,League Play: Week 2,119528,184461,Controller,23,No,lose
Dep,ZETA,1,1,0,0,0,0,0,0,0,Neon,Lotus,League Play: Week 2,119529,184461,Duelist,18,No,win
Laz,ZETA,0,0,0,0,0,0,0,0,0,Fade,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,win
crow,ZETA,4,0,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,win
TENNN,ZETA,3,2,0,0,1,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119529,184461,Sentinel,18,No,win
SugarZ3ro,ZETA,4,3,0,0,1,0,0,0,0,Omen,Lotus,League Play: Week 2,119529,184461,Controller,18,No,win
xffero,RRQ,1,1,0,0,0,0,0,0,0,Skye,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,lose
fl1pzjder,RRQ,3,1,0,0,0,0,0,0,0,Breach,Lotus,League Play: Week 2,119529,184461,Initiator,18,No,lose
EJAY,RRQ,0,1,0,0,0,0,0,0,0,Jett,Lotus,League Play: Week 2,119529,184461,Duelist,18,No,lose
Lmemore,RRQ,2,0,0,0,0,0,0,0,0,Killjoy,Lotus,League Play: Week 2,119529,184461,Sentinel,18,No,lose
2ge,RRQ,0,2,0,0,0,0,0,0,0,Omen,Lotus,League Play: Week 2,119529,184461,Controller,18,No,lose
Patt,TLN,3,1,0,0,1,0,0,0,0,Gekko,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,lose
Sushiboys,TLN,3,0,0,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119530,184462,Sentinel,21,No,lose
Crws,TLN,3,0,1,0,0,0,0,0,0,Omen,Ascent,League Play: Week 2,119530,184462,Controller,21,No,lose
foxz,TLN,2,0,0,0,0,0,0,0,0,Fade,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,lose
garnetS,TLN,1,0,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 2,119530,184462,Duelist,21,No,lose
xeta,T1,1,2,0,0,1,0,0,0,0,Sova,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,win
Munchkin,T1,1,2,1,0,0,0,0,0,0,Killjoy,Ascent,League Play: Week 2,119530,184462,Sentinel,21,No,win
Sayaplayer,T1,7,2,0,0,0,0,0,0,0,Jett,Ascent,League Play: Week 2,119530,184462,Duelist,21,No,win
ban,T1,3,1,0,0,0,1,0,0,0,Omen,Ascent,League Play: Week 2,119530,184462,Controller,21,No,win
Carpe,T1,3,0,0,0,0,0,0,0,0,Kayo,Ascent,League Play: Week 2,119530,184462,Initiator,21,No,win
Patt,TLN,3,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119531,184462,Initiator,19,No,lose
Sushiboys,TLN,3,1,0,0,0,0,0,0,0,Killjoy,Haven,League Play: Week 2,119531,184462,Sentinel,19,No,lose
Crws,TLN,5,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119531,184462,Controller,19,No,lose
foxz,TLN,3,0,0,0,0,0,0,0,0,Gekko,Haven,League Play: Week 2,119531,184462,Initiator,19,No,lose
garnetS,TLN,4,0,0,0,0,0,0,0,0,Jett,Haven,League Play: Week 2,119531,184462,Duelist,19,No,lose
xeta,T1,4,1,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119531,184462,Initiator,19,No,win
iNTRO,T1,2,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119531,184462,Controller,19,No,win
Munchkin,T1,3,1,0,0,2,0,0,0,0,Killjoy,Haven,League Play: Week 2,119531,184462,Sentinel,19,No,win
Sayaplayer,T1,4,2,0,0,2,0,0,0,0,Jett,Haven,League Play: Week 2,119531,184462,Duelist,19,No,win
Carpe,T1,2,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119531,184462,Initiator,19,No,win
BORKUM,TS,4,1,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119533,184463,Controller,24,Yes,lose
JessieVash,TS,3,0,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,lose
DubsteP,TS,4,2,0,0,2,0,0,0,0,Killjoy,Haven,League Play: Week 2,119533,184463,Sentinel,24,Yes,lose
Jremy,TS,3,1,0,0,0,0,0,0,0,Raze,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,lose
invy,TS,2,0,0,0,0,0,0,0,0,Breach,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,lose
Jinggg,PRX,4,2,0,0,1,0,0,0,0,Raze,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,win
mindfreak,PRX,0,0,0,0,0,0,0,0,0,Omen,Haven,League Play: Week 2,119533,184463,Controller,24,Yes,win
f0rsakeN,PRX,1,0,0,0,0,0,0,0,0,Yoru,Haven,League Play: Week 2,119533,184463,Duelist,24,Yes,win
Benkai,PRX,4,1,0,0,0,0,0,0,0,Cypher,Haven,League Play: Week 2,119533,184463,Sentinel,24,Yes,win
d4v41,PRX,5,2,0,0,0,0,0,0,0,Sova,Haven,League Play: Week 2,119533,184463,Initiator,24,Yes,win
BORKUM,TS,3,2,0,0,0,0,1,0,0,Brimstone,Fracture,League Play: Week 2,119534,184463,Controller,24,Yes,win
JessieVash,TS,3,0,0,0,0,0,0,0,0,Fade,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,win
DubsteP,TS,3,2,0,0,1,1,0,0,0,Cypher,Fracture,League Play: Week 2,119534,184463,Sentinel,24,Yes,win
Jremy,TS,1,0,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,win
invy,TS,1,2,1,0,0,0,0,0,0,Breach,Fracture,League Play: Week 2,119534,184463,Initiator,24,Yes,win
Jinggg,PRX,4,3,0,0,0,0,0,0,0,Raze,Fracture,League Play: Week 2,119534,184463,Duelist,24,Yes,lose
